TV,Radio,Newspaper,Sales,sum of cost,TV AND RADIO,RADIO AND newspaper,NEWSPAPER AND TV
74.7,49.4,45.7,14.7,169.8,FALSE,FALSE,TRUE
43.1,26.7,35.1,10.1,104.9,FALSE,TRUE,TRUE
228,37.7,32,21.5,297.7,FALSE,FALSE,TRUE
202.5,22.3,31.6,16.6,256.4,FALSE,TRUE,TRUE
177,33.4,38.7,17.1,249.1,FALSE,TRUE,TRUE
293.6,27.7,1.8,20.7,323.1,FALSE,FALSE,TRUE
206.9,8.4,26.4,12.9,241.7,FALSE,TRUE,TRUE
25.1,25.7,43.3,8.5,94.1,TRUE,TRUE,FALSE
175.1,22.5,31.5,14.9,229.1,FALSE,TRUE,TRUE
89.7,9.9,35.7,10.6,135.3,FALSE,TRUE,TRUE
239.9,41.5,18.5,23.2,299.9,FALSE,FALSE,TRUE
227.2,15.8,49.9,14.8,292.9,FALSE,TRUE,TRUE
66.9,11.7,36.8,9.7,115.4,FALSE,TRUE,TRUE
199.8,3.1,34.6,11.4,237.5,FALSE,TRUE,TRUE
100.4,9.6,3.6,10.7,113.6,FALSE,FALSE,TRUE
216.4,41.7,39.6,22.6,297.7,FALSE,FALSE,TRUE
182.6,46.2,58.7,21.2,287.5,FALSE,TRUE,TRUE
262.7,28.8,15.9,20.2,307.4,FALSE,FALSE,TRUE
198.9,49.4,60,23.7,308.3,FALSE,TRUE,TRUE
7.3,28.1,41.4,5.5,76.8,TRUE,TRUE,FALSE
136.2,19.2,16.6,13.2,172,FALSE,FALSE,TRUE
210.8,49.6,37.7,23.8,298.1,FALSE,FALSE,TRUE
210.7,29.5,9.3,18.4,249.5,FALSE,FALSE,TRUE
53.5,2,21.4,8.1,76.9,FALSE,TRUE,TRUE
261.3,42.7,54.7,24.2,358.7,FALSE,TRUE,TRUE
239.3,15.5,27.3,15.7,282.1,FALSE,TRUE,TRUE
102.7,29.6,8.4,14,140.7,FALSE,FALSE,TRUE
131.1,42.8,28.9,18,202.8,FALSE,FALSE,TRUE
69,9.3,0.9,9.3,79.2,FALSE,FALSE,TRUE
31.5,24.6,2.2,9.5,58.3,FALSE,FALSE,TRUE
139.3,14.5,10.2,13.4,164,FALSE,FALSE,TRUE
237.4,27.5,11,18.9,275.9,FALSE,FALSE,TRUE
216.8,43.9,27.2,22.3,287.9,FALSE,FALSE,TRUE
199.1,30.6,38.7,18.3,268.4,FALSE,TRUE,TRUE
109.8,14.3,31.7,12.4,155.8,FALSE,TRUE,TRUE
26.8,33,19.3,8.8,79.1,TRUE,FALSE,TRUE
129.4,5.7,31.3,11,166.4,FALSE,TRUE,TRUE
213.4,24.6,13.1,17,251.1,FALSE,FALSE,TRUE
16.9,43.7,89.4,8.7,150,TRUE,TRUE,FALSE
27.5,1.6,20.7,6.9,49.8,FALSE,TRUE,TRUE
120.5,28.5,14.2,14.2,163.2,FALSE,FALSE,TRUE
5.4,29.9,9.4,5.3,44.7,TRUE,FALSE,FALSE
116,7.7,23.1,11,146.8,FALSE,TRUE,TRUE
76.4,26.7,22.3,11.8,125.4,FALSE,FALSE,TRUE
239.8,4.1,36.9,12.3,280.8,FALSE,TRUE,TRUE
75.3,20.3,32.5,11.3,128.1,FALSE,TRUE,TRUE
68.4,44.5,35.6,13.6,148.5,FALSE,FALSE,TRUE
213.5,43,33.8,21.7,290.3,FALSE,FALSE,TRUE
193.2,18.4,65.7,15.2,277.3,FALSE,TRUE,TRUE
76.3,27.5,16,12,119.8,FALSE,FALSE,TRUE
110.7,40.6,63.2,16,214.5,FALSE,TRUE,TRUE
88.3,25.5,73.4,12.9,187.2,FALSE,TRUE,TRUE
109.8,47.8,51.4,16.7,209,FALSE,TRUE,TRUE
134.3,4.9,9.3,11.2,148.5,FALSE,TRUE,TRUE
28.6,1.5,33,7.3,63.1,FALSE,TRUE,FALSE
217.7,33.5,59,19.4,310.2,FALSE,TRUE,TRUE
250.9,36.5,72.3,22.2,359.7,FALSE,TRUE,TRUE
107.4,14,10.9,11.5,132.3,FALSE,FALSE,TRUE
163.3,31.6,52.9,16.9,247.8,FALSE,TRUE,TRUE
197.6,3.5,5.9,11.7,207,FALSE,TRUE,TRUE
184.9,21,22,15.5,227.9,FALSE,TRUE,TRUE
289.7,42.3,51.2,25.4,383.2,FALSE,TRUE,TRUE
135.2,41.7,45.9,17.2,222.8,FALSE,TRUE,TRUE
222.4,4.3,49.8,11.7,276.5,FALSE,TRUE,TRUE
296.4,36.3,100.9,23.8,433.6,FALSE,TRUE,TRUE
280.2,10.1,21.4,14.8,311.7,FALSE,TRUE,TRUE
187.9,17.2,17.9,14.7,223,FALSE,TRUE,TRUE
238.2,34.3,5.3,20.7,277.8,FALSE,FALSE,TRUE
137.9,46.4,59,19.2,243.3,FALSE,TRUE,TRUE
25,11,29.7,7.2,65.7,FALSE,TRUE,FALSE
90.4,0.3,23.2,8.7,113.9,FALSE,TRUE,TRUE
13.1,0.4,25.6,5.3,39.1,FALSE,TRUE,FALSE
255.4,26.9,5.5,19.8,287.8,FALSE,FALSE,TRUE
225.8,8.2,56.5,13.4,290.5,FALSE,TRUE,TRUE
241.7,38,23.2,21.8,302.9,FALSE,FALSE,TRUE
175.7,15.4,2.4,14.1,193.5,FALSE,FALSE,TRUE
209.6,20.6,10.7,15.9,240.9,FALSE,FALSE,TRUE
78.2,46.8,34.5,14.6,159.5,FALSE,FALSE,TRUE
75.1,35,52.7,12.6,162.8,FALSE,TRUE,TRUE
139.2,14.3,25.6,12.2,179.1,FALSE,TRUE,TRUE
76.4,0.8,14.8,9.4,92,FALSE,TRUE,TRUE
125.7,36.9,79.2,15.9,241.8,FALSE,TRUE,TRUE
19.4,16,22.3,6.6,57.7,FALSE,TRUE,FALSE
141.3,26.8,46.2,15.5,214.3,FALSE,TRUE,TRUE
18.8,21.7,50.4,7,90.9,TRUE,TRUE,FALSE
224,2.4,15.6,11.6,242,FALSE,TRUE,TRUE
123.1,34.6,12.4,15.2,170.1,FALSE,FALSE,TRUE
229.5,32.3,74.2,19.7,336,FALSE,TRUE,TRUE
87.2,11.8,25.9,10.6,124.9,FALSE,TRUE,TRUE
7.8,38.9,50.6,6.6,97.3,TRUE,TRUE,FALSE
80.2,0,9.2,8.8,89.4,FALSE,TRUE,TRUE
220.3,49,3.2,24.7,272.5,FALSE,FALSE,TRUE
59.6,12,43.1,9.7,114.7,FALSE,TRUE,TRUE
0.7,39.6,8.7,1.6,49,TRUE,FALSE,FALSE
265.2,2.9,43,12.7,311.1,FALSE,TRUE,TRUE
8.4,27.2,2.1,5.7,37.7,TRUE,FALSE,TRUE
219.8,33.5,45.1,19.6,298.4,FALSE,TRUE,TRUE
36.9,38.6,65.6,10.8,141.1,TRUE,TRUE,FALSE
48.3,47,8.5,11.6,103.8,FALSE,FALSE,TRUE
25.6,39,9.3,9.5,73.9,TRUE,FALSE,TRUE
273.7,28.9,59.7,20.8,362.3,FALSE,TRUE,TRUE
43,25.9,20.5,9.6,89.4,FALSE,FALSE,TRUE
184.9,43.9,1.7,20.7,230.5,FALSE,FALSE,TRUE
73.4,17,12.9,10.9,103.3,FALSE,FALSE,TRUE
193.7,35.4,75.6,19.2,304.7,FALSE,TRUE,TRUE
220.5,33.2,37.9,20.1,291.6,FALSE,TRUE,TRUE
104.6,5.7,34.4,10.4,144.7,FALSE,TRUE,TRUE
96.2,14.8,38.9,11.4,149.9,FALSE,TRUE,TRUE
140.3,1.9,9,10.3,151.2,FALSE,TRUE,TRUE
240.1,7.3,8.7,13.2,256.1,FALSE,TRUE,TRUE
243.2,49,44.3,25.4,336.5,FALSE,FALSE,TRUE
38,40.3,11.9,10.9,90.2,TRUE,FALSE,TRUE
44.7,25.8,20.6,10.1,91.1,FALSE,FALSE,TRUE
280.7,13.9,37,16.1,331.6,FALSE,TRUE,TRUE
121,8.4,48.7,11.6,178.1,FALSE,TRUE,TRUE
197.6,23.3,14.2,16.6,235.1,FALSE,FALSE,TRUE
171.3,39.7,37.7,19,248.7,FALSE,FALSE,TRUE
187.8,21.1,9.5,15.6,218.4,FALSE,FALSE,TRUE
4.1,11.6,5.7,3.2,21.4,TRUE,FALSE,FALSE
93.9,43.5,50.5,15.3,187.9,FALSE,TRUE,TRUE
149.8,1.3,24.3,10.1,175.4,FALSE,TRUE,TRUE
11.7,36.9,45.2,7.3,93.8,TRUE,TRUE,FALSE
131.7,18.4,34.6,12.9,184.7,FALSE,TRUE,TRUE
172.5,18.1,30.7,14.4,221.3,FALSE,TRUE,TRUE
85.7,35.8,49.3,13.3,170.8,FALSE,TRUE,TRUE
188.4,18.1,25.6,14.9,232.1,FALSE,TRUE,TRUE
163.5,36.8,7.4,18,207.7,FALSE,FALSE,TRUE
117.2,14.7,5.4,11.9,137.3,FALSE,FALSE,TRUE
234.5,3.4,84.8,11.9,322.7,FALSE,TRUE,TRUE
17.9,37.6,21.6,8,77.1,TRUE,FALSE,FALSE
206.8,5.2,19.4,12.2,231.4,FALSE,TRUE,TRUE
215.4,23.6,57.6,17.1,296.6,FALSE,TRUE,TRUE
284.3,10.6,6.4,15,301.3,FALSE,FALSE,TRUE
50,11.6,18.4,8.4,80,FALSE,TRUE,TRUE
164.5,20.9,47.4,14.5,232.8,FALSE,TRUE,TRUE
19.6,20.1,17,7.6,56.7,TRUE,FALSE,TRUE
168.4,7.1,12.8,11.7,188.3,FALSE,TRUE,TRUE
222.4,3.4,13.1,11.5,238.9,FALSE,TRUE,TRUE
276.9,48.9,41.8,27,367.6,FALSE,FALSE,TRUE
248.4,30.2,20.3,20.2,298.9,FALSE,FALSE,TRUE
170.2,7.8,35.2,11.7,213.2,FALSE,TRUE,TRUE
276.7,2.3,23.7,11.8,302.7,FALSE,TRUE,TRUE
165.6,10,17.6,12.6,193.2,FALSE,TRUE,TRUE
156.6,2.6,8.3,10.5,167.5,FALSE,TRUE,TRUE
218.5,5.4,27.4,12.2,251.3,FALSE,TRUE,TRUE
56.2,5.7,29.7,8.7,91.6,FALSE,TRUE,TRUE
287.6,43,71.8,26.2,402.4,FALSE,TRUE,TRUE
253.8,21.3,30,17.6,305.1,FALSE,TRUE,TRUE
205,45.1,19.6,22.6,269.7,FALSE,FALSE,TRUE
139.5,2.1,26.6,10.3,168.2,FALSE,TRUE,TRUE
191.1,28.7,18.2,17.3,238,FALSE,FALSE,TRUE
286,13.9,3.7,15.9,303.6,FALSE,FALSE,TRUE
18.7,12.1,23.4,6.7,54.2,FALSE,TRUE,FALSE
39.5,41.1,5.8,10.8,86.4,TRUE,FALSE,TRUE
75.5,10.8,6,9.9,92.3,FALSE,FALSE,TRUE
17.2,4.1,31.6,5.9,52.9,FALSE,TRUE,FALSE
166.8,42,3.6,19.6,212.4,FALSE,FALSE,TRUE
149.7,35.6,6,17.3,191.3,FALSE,FALSE,TRUE
38.2,3.7,13.8,7.6,55.7,FALSE,TRUE,TRUE
94.2,4.9,8.1,9.7,107.2,FALSE,TRUE,TRUE
177,9.3,6.4,12.8,192.7,FALSE,FALSE,TRUE
283.6,42,66.2,25.5,391.8,FALSE,TRUE,TRUE
232.1,8.6,8.7,13.4,249.4,FALSE,TRUE,TRUE
